Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
Brandon Waddell,STL,AAA,27,2,0,1.459459864,10,0,0,0,0,0,,12.1,49,12,3,2,1,3,0,0,0,0,12,18347
Jaime Barria,LAA,AAA,24,3,2,4.408163265,10,10,1,0,0,0,,49,210,54,30,24,10,8,0,1,0,0,34,18356
Thomas Eshelman,BAL,AAA,27,0,4,7.8,15,3,0,0,0,0,,30,139,42,28,26,6,3,0,5,1,0,18,18361
Connor Overton,TOR,AAA,27,2,1,1.994318009,22,7,0,0,0,1,,58.2,236,52,14,13,3,11,0,6,4,0,52,18376
Scott Effross,CHC,AAA,27,4,2,3.642857143,23,2,0,0,2,0,,42,163,28,19,17,6,10,0,5,0,0,46,18384
Enyel De Los Santos,PHI,AAA,25,0,1,2.700000644,10,0,0,0,0,0,,13.1,47,3,4,4,1,5,1,1,0,0,24,18403
Jose Urquidy,HOU,AAA,26,1,0,2,2,2,0,0,0,0,,9,32,5,2,2,2,0,0,0,1,0,11,18413
Trevor Kelley,ATL,AAA,27,2,3,1.71818158,33,0,0,0,2,2,,36.2,142,26,9,7,2,15,0,0,0,0,43,18454
Shea Spitzbarth,PIT,AAA,26,3,2,1.410447601,40,0,0,0,2,1,,44.2,179,31,10,7,3,19,2,2,1,0,39,18475
Junior Fernandez,STL,AAA,24,1,2,6.27907116,13,0,0,0,1,1,,14.1,66,18,11,10,3,5,0,1,0,0,22,18496
Kenta Maeda,MIN,AAA,33,0,0,2.25,1,1,0,0,0,0,,4,14,1,1,1,1,1,0,0,0,0,5,18498
Josh Rogers,WSN,AAA,26,7,6,4.483394992,18,15,0,0,0,0,,90.1,392,99,49,45,14,24,0,5,1,0,63,18510
Phil Bickford,LAD,AAA,25,1,0,5.4,5,0,0,0,0,0,,5,21,5,3,3,0,0,0,0,0,0,12,18519
